"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","918797009133465600","ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!","Fri Oct 13 11:14:12 +0000 2017",15485,NA,76367,FALSE
"Twitter for iPhone","918796079243677696","Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s","Fri Oct 13 11:10:30 +0000 2017",11885,NA,51866,FALSE
"Twitter for iPhone","918795362122465280","RT @billoreilly: A free press is vital to protecting all Americans. A corrupt press damages the Republic.","Fri Oct 13 11:07:39 +0000 2017",15602,NA,0,TRUE
"Twitter for iPhone","918772522983874561","The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!","Fri Oct 13 09:36:54 +0000 2017",14207,NA,64283,FALSE
"Media Studio","918647067224035334","It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9","Fri Oct 13 01:18:23 +0000 2017",16514,NA,68837,FALSE
"Twitter for iPhone","918630610167529472","People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!","Fri Oct 13 00:12:59 +0000 2017",22416,NA,87857,FALSE
"Twitter for iPhone","918571860308254720","Happy #NationalFarmersDay!
<U+0001F4F8>https://t.co/dN39R1IMlA https://t.co/QbUG1pztaI","Thu Oct 12 20:19:32 +0000 2017",11002,NA,50217,FALSE
"Media Studio","918541193037967361","We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! https://t.co/DdI1yWi7YZ","Thu Oct 12 18:17:40 +0000 2017",15614,NA,68294,FALSE
"Media Studio","918523263554412544","The time has come to take action to IMPROVE access, INCREASE choices, and LOWER COSTS for HEALTHCARE! 
<U+27A1><U+FE0F>https://t.co/mz5fdveTVh https://t.co/dDZLsKuNSe","Thu Oct 12 17:06:26 +0000 2017",12853,NA,52052,FALSE
"Twitter for iPhone","918457595618365441","The Fake News Is going all out in order to demean and denigrate! Such hatred!","Thu Oct 12 12:45:29 +0000 2017",16941,NA,80734,FALSE
"Twitter for iPhone","918432809282342912","...We cannot keep FEMA, the Military &amp; the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!","Thu Oct 12 11:07:00 +0000 2017",13433,NA,64982,FALSE
"Twitter for iPhone","918430769776914432","...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....","Thu Oct 12 10:58:53 +0000 2017",10164,NA,50926,FALSE
