"word","2013-2016","year","proportion"
"adele",2.25048835597325e-06,"2017-2020",NA
"adelebrumley",4.50097671194649e-06,"2017-2020",NA
"adelson",4.50097671194649e-06,"2017-2020",NA
"adenunzio",2.25048835597325e-06,"2017-2020",NA
"adept",NA,"2017-2020",1.12524417798662e-05
"adequately",NA,"2017-2020",2.25048835597325e-06
"adetonaoris",2.25048835597325e-06,"2017-2020",NA
"adfjpd",2.25048835597325e-06,"2017-2020",NA
"adhbeky",2.25048835597325e-06,"2017-2020",NA
"adhd",2.25048835597325e-06,"2017-2020",NA
"adhere",NA,"2017-2020",2.25048835597325e-06
"adherent",NA,"2017-2020",2.25048835597325e-06
"adhering",NA,"2017-2020",2.25048835597325e-06
"adhietak",2.25048835597325e-06,"2017-2020",NA
"adhowe",2.25048835597325e-06,"2017-2020",NA
"adidas",2.25048835597325e-06,"2017-2020",NA
"adidasfevernova",2.25048835597325e-06,"2017-2020",NA
"adieejw",2.25048835597325e-06,"2017-2020",NA
"adios",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"adiosamerica",4.50097671194649e-06,"2017-2020",NA
"adiosliberty",2.25048835597325e-06,"2017-2020",NA
"adiscurtu",2.25048835597325e-06,"2017-2020",NA
"adityataday",2.25048835597325e-06,"2017-2020",NA
"adjacent",2.25048835597325e-06,"2017-2020",NA
"adjourn",NA,"2017-2020",4.50097671194649e-06
"adjourns",NA,"2017-2020",2.25048835597325e-06
"adjunct",2.25048835597325e-06,"2017-2020",NA
"adjust",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"adjusted",NA,"2017-2020",4.50097671194649e-06
"adjusting",NA,"2017-2020",4.50097671194649e-06
"adjustment",NA,"2017-2020",2.25048835597325e-06
"adkins",NA,"2017-2020",2.25048835597325e-06
"adkradio",4.50097671194649e-06,"2017-2020",NA
"adl",2.25048835597325e-06,"2017-2020",NA
"adm",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"admi",NA,"2017-2020",2.25048835597325e-06
"admin",1.35029301358395e-05,"2017-2020",7.20156273911439e-05
"admin's",NA,"2017-2020",2.25048835597325e-06
"admini",NA,"2017-2020",2.25048835597325e-06
"adminis",NA,"2017-2020",2.25048835597325e-06
"administer",NA,"2017-2020",2.25048835597325e-06
"administered",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"administrat",NA,"2017-2020",2.25048835597325e-06
"administrating",NA,"2017-2020",2.25048835597325e-06
"administration",0.000121526371222555,"2017-2020",0.000873189482117619
"administration's",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"administrations",NA,"2017-2020",5.17612321873847e-05
"administrator",NA,"2017-2020",9.00195342389298e-06
"admins",NA,"2017-2020",2.25048835597325e-06
"adminstration",NA,"2017-2020",2.25048835597325e-06
"admirable",6.75146506791974e-06,"2017-2020",4.50097671194649e-06
"admirably",NA,"2017-2020",2.25048835597325e-06
"admiral",NA,"2017-2020",4.05087904075184e-05
"admirals",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"admiration",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"admire",6.97651390351706e-05,"2017-2020",6.75146506791974e-06
"admired",1.12524417798662e-05,"2017-2020",4.50097671194649e-06
"admirer",1.12524417798662e-05,"2017-2020",2.25048835597325e-06
"admissibility",NA,"2017-2020",2.25048835597325e-06
"admission",2.25048835597325e-06,"2017-2020",1.57534184918127e-05
"admissions",NA,"2017-2020",2.25048835597325e-06
"admit",6.75146506791974e-05,"2017-2020",5.62622088993312e-05
"admits",1.12524417798662e-05,"2017-2020",6.75146506791974e-05
"admittance",NA,"2017-2020",2.25048835597325e-06
"admitted",3.37573253395987e-05,"2017-2020",8.55185575269834e-05
"admitting",1.12524417798662e-05,"2017-2020",3.15068369836254e-05
"admonished",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"adncqky",NA,"2017-2020",2.25048835597325e-06
"adntge",2.25048835597325e-06,"2017-2020",NA
"ado",2.25048835597325e-06,"2017-2020",NA
"adogw",2.25048835597325e-06,"2017-2020",NA
"adopt",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"adopted",NA,"2017-2020",6.75146506791974e-06
"adopting",NA,"2017-2020",2.25048835597325e-06
"adoption",NA,"2017-2020",4.50097671194649e-06
"adorable",1.12524417798662e-05,"2017-2020",NA
"adore",1.57534184918127e-05,"2017-2020",NA
"adored",NA,"2017-2020",2.25048835597325e-06
"adores",2.25048835597325e-06,"2017-2020",NA
